,logFC,logCPM,PValue,adjsutedPValue
AT4G31240,-4.15864372979091,-0.436745354519762,1.05673946854898e-05,4.82059229435237e-05
AT4G31248,-3.39467113782375,0.899566240356251,1.60823849682221e-10,2.13919084317018e-09
AT4G31250,-1.18841284643736,1.24674836099682,0.00142836192769659,0.00393121555601265
AT4G31270,-1.32891074964704,1.1639042871401,0.000644633382222141,0.0019422972632592
AT4G31290,1.33292137090282,6.32867651332222,3.6079997770842e-10,4.40946535604273e-09
AT4G31300,0.779876415542148,6.76501038282389,0.000193986671205223,0.000660358675283091
AT4G31310,-0.240651506617827,2.17636854592088,0.441792795929313,0.562453933821016
AT4G31320,-5.76302229518071,-2.12864026809743,0.0172978672658575,0.0345925860302104
AT4G31330,0.914634256994421,2.20505248438314,0.001373251771086,0.00380911820472656
AT4G31340,0.121414365249383,5.87508144714484,0.568626204067229,0.683309209678076
AT4G31350,0.0233243031954949,4.50553734522789,0.928259555602925,1
AT4G31351,-5.1912821940378,-2.49032428037069,0.128740533784281,0.197015425125412
AT4G31354,-5.59641427199617,-2.23870582777624,0.0336166099694965,0.0622160690196004
AT4G31355,7.63036219978344,-1.25569551938881,8.35118065638394e-06,3.89698117951541e-05
AT4G31360,-0.750961481033517,4.96446885811101,0.000682440054806825,0.00204387866489371
AT4G31370,-4.23023747448946,-2.98608720657443,0.502487562189054,0.616577043307029
AT4G31390,0.322461613603278,2.32634771391625,0.257706781088851,0.354328421335502
AT4G31398,2.24614206381086,1.23181830837998,8.15079387548322e-10,9.23224456803444e-09
AT4G31400,0.92208314382706,2.14741903633385,0.00140025430539549,0.00387374897479045
AT4G31408,8.08780665184983,-0.827857551032462,7.04324441162608e-08,5.08938680371823e-07
AT4G31410,0.319565445806278,2.58106975326586,0.243638582965229,0.342177823218582
AT4G31420,-0.199826890925767,4.28754103421637,0.378833203019829,0.493331800590122
AT4G31430,0.299693786908235,5.65253451913825,0.160067001255701,0.238496764955072
AT4G31440,-9.07675218491457,0.548912433902759,2.90348136806136e-13,6.84561154310948e-12
AT4G31441,-6.17140287116709,-1.8442628463325,0.00464265501031792,0.0110431480633605
AT4G31450,0.179640798153555,2.47916702017221,0.538589564165394,0.653576711010071
AT4G31460,-0.589274988685259,3.77405695248519,0.0132064550363069,0.0278688795705184
AT4G31480,-0.512623114044423,6.3402887899796,0.0149358352393079,0.0308894158633931
AT4G31490,-0.902072139174413,5.77856891101777,2.62732327436032e-05,0.000110304076235953
AT4G31500,0.098334848783489,4.26673527049608,0.674482532392299,0.785264340722071
AT4G31510,1.73175909114752,1.66513507637902,1.01270567866988e-07,7.05554679235638e-07
AT4G31520,-4.23023747448946,-2.98608720657443,0.502487562189054,0.616577043307029
AT4G31530,-0.392646130510776,2.83752913949776,0.141765902779089,0.214454354100765
AT4G31540,0.0987217555987822,3.93249065241934,0.673334146695272,0.784093510306407
AT4G31550,-1.58503426973296,3.8155213918624,1.46166455668615e-10,1.96084352677786e-09
AT4G31560,-1.15173471545298,1.38223672176751,0.0015190510053077,0.00415221131865052
